
bharathchandra@Bharath:~/CN$ sudo python3 Sniff.py
Starting packet capture... (Press Ctrl+C to stop)
^C----- Metrics -----
Total data transferred: 324423865 bytes
Total packets: 328830
Minimum packet size: 54 bytes
Maximum packet size: 1514 bytes
Average packet size: 986.60 bytes
Histogram saved as 'packet_size_histogram.png'.

----- Unique Source-Destination Pairs (TCP flows) -----
142.251.42.42:443 -> 10.7.11.235:54986 : 12631 bytes
10.7.11.235:54987 -> 49.44.120.91:443 : 6725 bytes
49.44.120.91:443 -> 10.7.11.235:54987 : 159908 bytes
10.7.11.235:54988 -> 20.189.173.12:443 : 4164 bytes
20.189.173.12:443 -> 10.7.11.235:54988 : 5883 bytes
10.7.11.235:54989 -> 142.250.199.142:443 : 2355 bytes
142.250.199.142:443 -> 10.7.11.235:54989 : 9492 bytes
10.7.11.235:54990 -> 10.240.8.31:8009 : 3394 bytes
10.240.8.31:8009 -> 10.7.11.235:54990 : 5115 bytes
10.7.11.235:54991 -> 35.168.254.26:443 : 11211 bytes
35.168.254.26:443 -> 10.7.11.235:54991 : 7083 bytes
10.7.11.235:54992 -> 142.250.192.69:443 : 10768 bytes
142.250.192.69:443 -> 10.7.11.235:54992 : 10052 bytes
10.7.11.235:54993 -> 142.250.70.110:443 : 2405 bytes
142.250.70.110:443 -> 10.7.11.235:54993 : 8912 bytes
10.7.11.235:54994 -> 10.240.8.31:8009 : 3460 bytes
10.7.11.235:54995 -> 49.44.120.91:443 : 7137 bytes
49.44.120.91:443 -> 10.7.11.235:54995 : 160219 bytes
10.240.8.31:8009 -> 10.7.11.235:54994 : 5055 bytes
10.7.11.235:54996 -> 142.250.183.42:443 : 2485 bytes
142.250.183.42:443 -> 10.7.11.235:54996 : 12681 bytes
10.7.11.235:54997 -> 18.66.57.31:443 : 2918 bytes
18.66.57.31:443 -> 10.7.11.235:54997 : 8066 bytes
10.7.11.235:54998 -> 142.250.192.131:443 : 2415 bytes
142.250.192.131:443 -> 10.7.11.235:54998 : 6860 bytes
10.7.11.235:54999 -> 142.250.192.35:443 : 2331 bytes
142.250.192.35:443 -> 10.7.11.235:54999 : 6866 bytes
10.7.11.235:55000 -> 142.250.192.97:443 : 2361 bytes
142.250.192.97:443 -> 10.7.11.235:55000 : 12168 bytes
10.7.11.235:55001 -> 10.240.8.31:8009 : 3301 bytes
10.7.11.235:55002 -> 49.44.120.91:443 : 6529 bytes
49.44.120.91:443 -> 10.7.11.235:55002 : 137625 bytes
10.7.11.235:55003 -> 3.235.200.221:443 : 7302 bytes
3.235.200.221:443 -> 10.7.11.235:55003 : 6836 bytes
10.240.8.31:8009 -> 10.7.11.235:55001 : 4944 bytes
10.7.11.235:55004 -> 142.250.70.100:443 : 2360 bytes
142.250.70.100:443 -> 10.7.11.235:55004 : 5873 bytes
10.7.11.235:55005 -> 10.240.8.31:8009 : 3717 bytes
10.240.8.31:8009 -> 10.7.11.235:55005 : 5286 bytes
10.7.11.235:55006 -> 49.44.120.91:443 : 6772 bytes
49.44.120.91:443 -> 10.7.11.235:55006 : 161031 bytes
10.7.11.235:55007 -> 108.159.61.80:443 : 4040 bytes
108.159.61.80:443 -> 10.7.11.235:55007 : 7497 bytes
10.7.11.235:55008 -> 54.88.64.163:443 : 5239 bytes
54.88.64.163:443 -> 10.7.11.235:55008 : 6658 bytes
10.7.11.235:55009 -> 10.240.8.31:8009 : 3269 bytes
10.7.11.235:55010 -> 23.54.155.206:443 : 7667 bytes
23.54.155.206:443 -> 10.7.11.235:55010 : 160865 bytes
10.240.8.31:8009 -> 10.7.11.235:55009 : 4944 bytes
10.7.11.235:55011 -> 142.250.4.84:443 : 2355 bytes
142.250.4.84:443 -> 10.7.11.235:55011 : 6931 bytes
10.7.11.235:55012 -> 10.240.8.31:8009 : 3849 bytes
10.7.11.235:55013 -> 23.54.155.206:443 : 6812 bytes
23.54.155.206:443 -> 10.7.11.235:55013 : 138379 bytes
10.240.8.31:8009 -> 10.7.11.235:55012 : 5286 bytes
10.7.11.235:55014 -> 23.54.155.206:443 : 7319 bytes
23.54.155.206:443 -> 10.7.11.235:55014 : 161471 bytes
10.7.11.235:55015 -> 10.240.8.31:8009 : 3269 bytes
10.7.11.235:55016 -> 23.54.155.206:443 : 7267 bytes
23.54.155.206:443 -> 10.7.11.235:55016 : 161729 bytes
10.240.8.31:8009 -> 10.7.11.235:55015 : 4944 bytes
10.7.11.235:55017 -> 57.144.177.33:80 : 6585 bytes
57.144.177.33:80 -> 10.7.11.235:55017 : 25329 bytes
